No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"31","PT MABRURO","Pt. Mabruro Tours & Travel","073/AMPHURI/2008","Hj. Firda Lailia","PIHK","","Jawa Timur","Jawa Timur"
"32","PT GALIH TUNGGAL PERKASA","Galih Tour / Myhajiumroh","074/AMPHURI/2008","H. Andi Wirawan","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"33","PT ARMINAREKA PERDANA","-","075/AMPHURI/2008","Ir. Hj. Darnelly Guril Darmi M.Sc.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"34","PT KAFILAH MAGHFIRAH WISATA","-","086/AMPHURI/2008","H. Firman M Nur, Ms.C","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"35","PT ALIA INDAH WISATA","Alia Wisata","088/AMPHURI/2008","H. Joko Asmoro, Se, Mm.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"36","PT AMANAH MULIA WISATA","Amwa Tours","091/AMPHURI/2008","H. Asep Abdul Aziz., Mz., Sh., Mh","PIHK","","Jawa Barat","Jawa Barat"
"37","PT DENA VISTAMA","Dena Tour","095/AMPHURI/2008","H. Sheikh M Masyhur","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"38","PT MARGI SUCI MINARFA","-","098/AMPHURI/2008","H. Bambang Okto Prianto, St","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"39","PT NAMIRAH ANGKASA JAYATAMA","Naja Tour","109/AMPHURI/2008","H. Abdullah Asad Noer Basyaiban","PIHK","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"40","PT DIAN SALTRA PERDANA","Dian Saltra Tour & Travel","117/AMPHURI/2009","Hj. Rosmalina Yuniar","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"41","PT QIBLAT","Qiblat Wisata","118/AMPHURI/2009","H. Amru Hasim","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"42","PT SAFIIR AMAL IMANI","Safir Tour & Travel","129/AMPHURI/2010","H. Hisyam","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"43","PT JAMILA ANTARNUSA WISATA","Jamila Tours & Travel","130/AMPHURI/2010","H. Ali Muchtar Harahap","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"44","PT BINA INSAN MUNAWAROH","Bim Tour","132/AMPHURI/2010","H. M. Aniq Syahuri Lc.","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"45","PT HIKMAH JAYA WISATA","Hikmah Jaya Tours & Travel","135/AMPHURI/2010","H. Mazlan Mansur, Se.","PIHK","","Jawa Timur","Jawa Timur"
"46","PT RESI MANUNGGAL LESTARI","-","137/AMPHURI/2010","Hj. Riani Rilanda","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"47","PT WISATA RAHMAH SEMESTA","Wisata Rahmah","139/AMPHURI/2011","Drs. H. Andi Pawawai Parenrengi, Se.","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"48","PT TRAVELINDO LUSIYANA","Travelindo","141/AMPHURI/2011","Hj. Adista Ladikrismeru","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"49","PT ALBILAD UNIVERSAL","Albilad Tour & Travel","142/AMPHURI/2011","H. Jamaluddin Mahmud, Sh, Mh","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"50","PT MUHSANS ARGAM PUTRA","Map Travel","145/AMPHURI/2012","H. Haifa M Hasan Bajamal","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"51","PT MASSA MAKMOR WORLD TOUR AND TRAVEL","-","146/AMPHURI/2012","H. Aida Setyawan","PPIU","","Jawa Timur","Jawa Timur"
"52","PT BAROKAH DUA PUTRI MANDIRI","Badur Tour","149/AMPHURI/2012","H. Nawali Aswar","PIHK","","Jawa Timur","Jawa Timur"
"53","PT KANOMAS ARCI WISATA","Kanomas Tour & Travel","151/AMPHURI/2012","H. Abdul Aziz","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"54","PT WISATA HATI TOUR & TRAVEL","Wisata Hati Tour & Travel","152/AMPHURI/2012","H. Jaman Nurchotib Mansur","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"55","PT BIG TOUR AND TRAVEL","Big Tour And Travel","153/AMPHURI/2012","H. Musaddad","PIHK","","Banten","Banten"
"56","PT BHIAS MEGA UTAMA","Bima Tours","154/AMPHURI/2013","Hj. Fatimah, Sh. Mkn","PIHK","","Jawa Barat","Jawa Barat"
"57","PT AFI TOUR","Afi Tour","157/AMPHURI/2013","Hj. Zamiroh","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"58","PT GRAND DARUSSALAM","-","160/AMPHURI/2013","H. Bob S. Nasution, Se.","PIHK","","Sumatera Utara","Sumatera Utara"
"59","PT RUHAMA INSAN BAROKAH","1001 Insan Travel","165/AMPHURI/2013","H. Ir. Erfai Fakih","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"60","PT MULTAZAM WISATA ROHANI","Mwr Tour","166/AMPHURI/2013","H. Dedy Supriadi","PIHK","","Jawa Barat","Jawa Barat"
"61","PT BINA INSANI TOUR","-","167/AMPHURI/2013","H. Abdul Aziz","PPIU","","Jawa Barat","Jawa Barat"
"62","PT AL-REFADA NUSANTARA","Al Refada Tours & Travel","170/AMPHURI/2013","H. Lukito Hardjo, Sh, M.Si.","PPIU","","Jawa Timur","Jawa Timur"
"63","PT BANU MIBRAS WISATA","Banu Wisata","171/AMPHURI/2013","H. Faisal Pikri","PPIU","","Banten","Banten"
"64","PT MAHARANI SEJAHTERA","Maharani Tours","172/AMPHURI/2013","H. Abdul Malik Lasari","PIHK","","Sulawesi Selatan","Sulampua"
"65","PT MULIA INSANI MAKMUR","Mim Travel","174/AMPHURI/2013","H. Mindra Yono","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"66","PT BAITUL IZZAH ONE NAHDLIYAH TOLCHAH MANSOER","Bin Tolchah","177/AMPHURI/2014","Hj. Zunatul Mafruchah, Sh.","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"67","PT TAIBAH SEMESTA WISATA","Taibah Tour & Travel","181/AMPHURI/2014","H. Yuliansyah, Lc.,Ma","PIHK","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"68","PT SALAM SEJAHTERA WISATA","-","182/AMPHURI/2014","H. Dede Muharram, Lc","PPIU","","Jawa Barat","Jawa Barat"
"69","PT ASHA RAMAS ANUGERAH","Asra 10 Tours & Travel","183/AMPHURI/2014","H. Nurul Huda","PPIU","","Jawa Timur","Jawa Timur"
"70","PT KAFILAH SUCI WISATA","-","184/AMPHURI/2014","H. Syatiri Rahman, Ma","PIHK","","Jawa Barat","Jawa Barat"
"71","PT ARTHA KARUNIA MULYA","Akram Travel","185/AMPHURI/2014","Hj. Dewi Dika Agustina","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"72","PT DUHA WISATA SAKINAH","Duha Wisata","186/AMPHURI/2014","H. Fahmi Pulungan","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"73","PT FINUSA KARYA WISATA","Finnusa Tour & Travel","189/AMPHURI/2014","Drs. H. Taufan Rizkillah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"74","PT ASAMULIA EXPRESS","Asamulia Tour & Travel","190/AMPHURI/2014","H. Islam Saleh Alwaini","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"75","PT BAITULLOH KOTA INTAN WISATA","Bkiw Tour","191/AMPHURI/2014","Hj. Keziana Martanti","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"76","PT GLOBAL ACCESS","-","192/AMPHURI/2014","H. Yunus M. Yamani, Se","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"77","PT KARYA LANA SEJAHTERA","-","195/AMPHURI/2014","Hj. Santi Madrapi, Sh","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"78","PT MUSTIKA TIGA SAUDARA","-","196/AMPHURI/2014","Hj. Linda Anggreaningsih","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"79","PT BINA CIPTA SARANA UTAMA","-","197/AMPHURI/2014","H. Syamsul Hidayat","PPIU","","Jawa Barat","Jawa Barat"
"80","PT AIRMARK INDO WISATA","Air Marindo","198/AMPHURI/2014","H. Bambang Sutrisno","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"81","PT PERJALANAN PARA KHALIFAH","-","200/AMPHURI/2014","H. Astokhari","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"82","PT KURNIA SAIDA AL HARAMAIN","Saida Travel","201/AMPHURI/2014","H. Said Zubaidi, Sh.","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"83","PT NUR HARAMAIN TOURS & TRAVEL","-","203/AMPHURI/2014","Drs. H. Abu Bakar Assegaf, Sh","PIHK","","Jawa Timur","Jawa Timur"
"84","PT TOTAL NUSA INDONESIA","-","204/AMPHURI/2014","H. Herry Setyawan, Se.","PPIU","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"85","PT AROFAH GALANG MULIA","-","206/AMPHURI/2014","H. Djasman Harun","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"86","PT ALMUNA INDAH WISATA TOUR & TRAVEL","Almuna Indah Wisata","207/AMPHURI/2014","H. Abdus Satar Toha Hasan","PPIU","","Jawa Timur","Jawa Timur"
"87","PT REZEKI BIPERLANUM INDOJAYA","Rezeki Holiday","208/AMPHURI/2014","H. Ludiyanto, Sh, Mh, Mm","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"88","PT SHABILLA ERALDO UTAMA","Shabilla Travel","209/AMPHURI/2014","H. Sarmada Rasby Kurniawan, Se, Msi","PPIU","","Jawa Barat","Jawa Barat"
"89","PT AGUNG EL-BADR WISATA","-","211/AMPHURI/2015","H. Hamzah Yusuf, Sh","PIHK","","Jawa Timur","Jawa Timur"
"90","PT EMMA TOUR & TRAVEL","Biro Perjalanan Wisata","212/AMPHURI/2015","H. Talib Bahrak","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"91","PT ASYESA","Hasanah Tour & Travel","213/AMPHURI/2015","H. Ari Tri Priyono","PIHK","","Jawa Barat","Jawa Barat"
"92","PT WAHANA AT-TAQWA ASSALAM","Wahana Tour","214/AMPHURI/2015","Hj. Ita Puspitawati Jayadi","PIHK","","Banten","Banten"
"93","PT ARQOM BAYU NUSABA","Ab Tour & Travel","215/AMPHURI/2015","H. Arif Kosim","PPIU","","Banten","Banten"
"94","PT SJAVA BAROKAH MAKMUR","Sjava Travel","219/AMPHURI/2015","Drs. H. Taufik Rahman","PIHK","","Jawa Timur","Jawa Timur"
"95","PT AL MULTAZAM UTAMA NUSANTARA","Almultazam Group","221/AMPHURI/2015","H. Mochamad Sufyan Arief","PPIU","","Jawa Timur","Jawa Timur"
"96","PT NUR DHUHA WISATA","-","222/AMPHURI/2015","H. Muhammad Mudzakir, Shi","PIHK","","Jawa Timur","Jawa Timur"
"97","PT WISATA ANUGERAH ABADI","Wina Tour","223/AMPHURI/2015","H. Reza Jufri","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"98","PT SAFIR HARAMAIN","Safir Haramain","224/AMPHURI/2015","H. Rudy Walujo","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"99","PT BIRO PERJALANAN WISATA SEPINGGAN INDAH JAYA ABADI","Sepinggan Indah Jaya Abadi","225/AMPHURI/2015","Hj. Moch. Choirul Muchtar","PPIU","","Jawa Timur","Jawa Timur"
"100","PT GALANG SAUDI TOURISM","Abtourt@Yahoo.Co.Id, Arifkosim@Yahoo.Co.Id","226/AMPHURI/2014","Hj. Indah Dwi Astuty","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"101","PT LAMINDA TRAVELINDO MANDIRI","Laminda Tour & Travel","229/AMPHURI/2015","H. Denny Rachmat Achmad","PPIU","","Banten","Banten"
"102","PT INHIL ARJUNA WISATA","-","230/AMPHURI/2015","H. Budi Rahman, S. Pd","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"103","PT ANNAMIRA ALMA MULIA","-","232/AMPHURI/2016","Hj. Munifah","PIHK","","Jawa Tengah","Jawa Tengah"
"104","PT MAKKAH MULTAZAM SAFIR","-","233/AMPHURI/2016","H. Nasrun Nazaruddin, Se","PPIU","","Lampung","Lampung"
"105","PT ARRAHMAAN WISATA INSANI","-","234/AMPHURI/2016","H. Rusman","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"106","PT WAHDAN SABILANA","Wahdan Tour","235/AMPHURI/2016","H. Akhmad Faisal Rizani, Sip","PIHK","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"107","PT PURNAMA WISATA TOUR & TRAVEL","-","236/AMPHURI/2016","H. Abren Ginting","PPIU","","Jawa Barat","Jawa Barat"
"108","PT WISATA PILIHAN","Fatour Travel","237/AMPHURI/2016","H. Fadli Rahman","PPIU","","Banten","Banten"
"109","PT PENJURU WISATA NEGERI","Aet Travel Indonesia","239/AMPHURI/2016","H. Rizki Kurniawan Nakasri, Ss","PIHK","","Sumatera Barat","Sumatera Barat"
"110","PT ANIEMA BANTEN UTAMA","-","240/AMPHURI/2016","H. Tb. Anis Fuadi Lc, S.Ag","PPIU","","Banten","Banten"
"111","PT DARMAWISATA INDONESIA","Darmawisata Indonesia","241/AMPHURI/2016","H. Husin, Se","PPIU","","Jawa Timur","Jawa Timur"
"112","PT NUR ALA NUR","Nur Ala Nur","242/AMPHURI/2016","Hj. Nilawati Noer","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"113","PT SABIKA ALHARAMAIN","Sabika Tour & Travel","243/AMPHURI/2016","H. Nofel Saleh Hilabi, Sh","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"114","PT SRIWIJAYA MEGA WISATA","Mega Wisata","245/AMPHURI/2016","Hj. Salwaty","PIHK","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"115","PT DAANISH MIKA SALSA","-","246/AMPHURI/2016","Hj. Utopia S,Ag","PIHK","","Lampung","Lampung"
"116","PT DELTA LARAS WISATA","Dallas Tour & Travel","247/AMPHURI/2016","H. Sandi Muhammad Ridwan","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"117","PT AL BAYT WISATA UNIVERSAL","Albayt","248/AMPHURI/2016","Hj. Nining Kartiningsih","PIHK","","Banten","Banten"
